Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,378,0
01:00 - 02:00,477,0
02:00 - 03:00,485,0
03:00 - 04:00,509,0
04:00 - 05:00,560,0
05:00 - 06:00,620,0
06:00 - 07:00,603,0
07:00 - 08:00,478,0
08:00 - 09:00,509,0
09:00 - 10:00,436,0
10:00 - 11:00,495,0
11:00 - 12:00,544,0
12:00 - 13:00,670,0
13:00 - 14:00,668,0
14:00 - 15:00,700,0
15:00 - 16:00,632,0
16:00 - 17:00,617,0
17:00 - 18:00,615,0
18:00 - 19:00,679,0
19:00 - 20:00,647,0
20:00 - 21:00,738,0
21:00 - 22:00,501,0
22:00 - 23:00,504,0
23:00 - 00:00,460,0
